Consumption (kWh), Start, End
0.35300000000000000000, 2024-06-01T00:00:00+01:00, 2024-06-01T00:30:00+01:00
0.35800000000000000000, 2024-06-01T00:30:00+01:00, 2024-06-01T01:00:00+01:00
0.34700000000000000000, 2024-06-01T01:00:00+01:00, 2024-06-01T01:30:00+01:00
0.32000000000000000000, 2024-06-01T01:30:00+01:00, 2024-06-01T02:00:00+01:00
0.30900000000000000000, 2024-06-01T02:00:00+01:00, 2024-06-01T02:30:00+01:00
0.29500000000000000000, 2024-06-01T02:30:00+01:00, 2024-06-01T03:00:00+01:00
0.20800000000000000000, 2024-06-01T03:00:00+01:00, 2024-06-01T03:30:00+01:00
0.22900000000000000000, 2024-06-01T03:30:00+01:00, 2024-06-01T04:00:00+01:00
0.22800000000000000000, 2024-06-01T04:00:00+01:00, 2024-06-01T04:30:00+01:00
0.23000000000000000000, 2024-06-01T04:30:00+01:00, 2024-06-01T05:00:00+01:00
0.19900000000000000000, 2024-06-01T05:00:00+01:00, 2024-06-01T05:30:00+01:00
0.22100000000000000000, 2024-06-01T05:30:00+01:00, 2024-06-01T06:00:00+01:00
0.22100000000000000000, 2024-06-01T06:00:00+01:00, 2024-06-01T06:30:00+01:00
0.22400000000000000000, 2024-06-01T06:30:00+01:00, 2024-06-01T07:00:00+01:00
0.20000000000000000000, 2024-06-01T07:00:00+01:00, 2024-06-01T07:30:00+01:00
0.22100000000000000000, 2024-06-01T07:30:00+01:00, 2024-06-01T08:00:00+01:00
0.21900000000000000000, 2024-06-01T08:00:00+01:00, 2024-06-01T08:30:00+01:00
0.21300000000000000000, 2024-06-01T08:30:00+01:00, 2024-06-01T09:00:00+01:00
0.20900000000000000000, 2024-06-01T09:00:00+01:00, 2024-06-01T09:30:00+01:00
0.19400000000000000000, 2024-06-01T09:30:00+01:00, 2024-06-01T10:00:00+01:00
0.21500000000000000000, 2024-06-01T10:00:00+01:00, 2024-06-01T10:30:00+01:00
0.21900000000000000000, 2024-06-01T10:30:00+01:00, 2024-06-01T11:00:00+01:00
0.12900000000000000000, 2024-06-01T11:00:00+01:00, 2024-06-01T11:30:00+01:00
0.16000000000000000000, 2024-06-01T11:30:00+01:00, 2024-06-01T12:00:00+01:00
0.39600000000000000000, 2024-06-01T12:00:00+01:00, 2024-06-01T12:30:00+01:00
0.33100000000000000000, 2024-06-01T12:30:00+01:00, 2024-06-01T13:00:00+01:00
0.27400000000000000000, 2024-06-01T13:00:00+01:00, 2024-06-01T13:30:00+01:00
0.28100000000000000000, 2024-06-01T13:30:00+01:00, 2024-06-01T14:00:00+01:00
0.33400000000000000000, 2024-06-01T14:00:00+01:00, 2024-06-01T14:30:00+01:00
0.86200000000000000000, 2024-06-01T14:30:00+01:00, 2024-06-01T15:00:00+01:00
0.46900000000000000000, 2024-06-01T15:00:00+01:00, 2024-06-01T15:30:00+01:00
0.38400000000000000000, 2024-06-01T15:30:00+01:00, 2024-06-01T16:00:00+01:00
0.36000000000000000000, 2024-06-01T16:00:00+01:00, 2024-06-01T16:30:00+01:00
0.93800000000000000000, 2024-06-01T16:30:00+01:00, 2024-06-01T17:00:00+01:00
0.78000000000000000000, 2024-06-01T17:00:00+01:00, 2024-06-01T17:30:00+01:00
0.68200000000000000000, 2024-06-01T17:30:00+01:00, 2024-06-01T18:00:00+01:00
0.76500000000000000000, 2024-06-01T18:00:00+01:00, 2024-06-01T18:30:00+01:00
0.75100000000000000000, 2024-06-01T18:30:00+01:00, 2024-06-01T19:00:00+01:00
