Consumption (m³), Start, End
0.000, 2024-06-01T00:00:00+01:00, 2024-06-01T00:30:00+01:00
0.006, 2024-06-01T00:30:00+01:00, 2024-06-01T01:00:00+01:00
0.007, 2024-06-01T01:00:00+01:00, 2024-06-01T01:30:00+01:00
0.001, 2024-06-01T01:30:00+01:00, 2024-06-01T02:00:00+01:00
0.000, 2024-06-01T02:00:00+01:00, 2024-06-01T02:30:00+01:00
0.000, 2024-06-01T02:30:00+01:00, 2024-06-01T03:00:00+01:00
0.000, 2024-06-01T03:00:00+01:00, 2024-06-01T03:30:00+01:00
0.000, 2024-06-01T03:30:00+01:00, 2024-06-01T04:00:00+01:00
0.000, 2024-06-01T04:00:00+01:00, 2024-06-01T04:30:00+01:00
0.000, 2024-06-01T04:30:00+01:00, 2024-06-01T05:00:00+01:00
0.000, 2024-06-01T05:00:00+01:00, 2024-06-01T05:30:00+01:00
0.000, 2024-06-01T05:30:00+01:00, 2024-06-01T06:00:00+01:00
0.000, 2024-06-01T06:00:00+01:00, 2024-06-01T06:30:00+01:00
0.000, 2024-06-01T06:30:00+01:00, 2024-06-01T07:00:00+01:00
0.000, 2024-06-01T07:00:00+01:00, 2024-06-01T07:30:00+01:00
0.000, 2024-06-01T07:30:00+01:00, 2024-06-01T08:00:00+01:00
0.000, 2024-06-01T08:00:00+01:00, 2024-06-01T08:30:00+01:00
0.000, 2024-06-01T08:30:00+01:00, 2024-06-01T09:00:00+01:00
0.000, 2024-06-01T09:00:00+01:00, 2024-06-01T09:30:00+01:00
0.000, 2024-06-01T09:30:00+01:00, 2024-06-01T10:00:00+01:00
0.000, 2024-06-01T10:00:00+01:00, 2024-06-01T10:30:00+01:00
0.000, 2024-06-01T10:30:00+01:00, 2024-06-01T11:00:00+01:00
0.000, 2024-06-01T11:00:00+01:00, 2024-06-01T11:30:00+01:00
0.013, 2024-06-01T11:30:00+01:00, 2024-06-01T12:00:00+01:00
0.027, 2024-06-01T12:00:00+01:00, 2024-06-01T12:30:00+01:00
0.000, 2024-06-01T12:30:00+01:00, 2024-06-01T13:00:00+01:00
0.003, 2024-06-01T13:00:00+01:00, 2024-06-01T13:30:00+01:00
0.000, 2024-06-01T13:30:00+01:00, 2024-06-01T14:00:00+01:00
